2e87e80c-bad6-49da-a848-884abd826088,BMW,6 Series,Purple
f5bde8e6-05bf-47fe-8a94-3895f50fc81f,Mitsubishi,GTO,Puce
bd4c9b3b-ec7f-4a5a-8edd-e7eaa2d48c5f,Chevrolet,TrailBlazer,Blue
1f37eec8-bcaa-4140-a96e-6e7edfad15ec,BMW,Z3,Yellow
b896baa4-6793-4d9d-a0c5-80a0a6a513e5,Pontiac,Montana,Pink
a926b503-ceef-464c-90ab-6e1326be110e,Dodge,Caliber,Pink
760137d1-f0e3-4780-af9b-2c8c91384785,Land Rover,Range Rover Sport,Aquamarine
d99265d9-3111-444a-b07d-58e113184df7,Subaru,Loyale,Blue
2b76e055-3aad-438f-b46b-8b3b188174b3,Chevrolet,G-Series 2500,Fuscia
be9e1941-d34f-47fa-98cb-c866382d5746,Isuzu,Ascender,Mauv
f3f74029-ef5c-4eeb-a74c-2dc8d03f4490,Infiniti,QX56,Crimson
b3bde4f2-654d-4070-a312-8f7260e2657e,Suzuki,Sidekick,Maroon
84a9b31a-394e-43ce-8859-d15df0d8443b,Lincoln,LS,Crimson
6246b94b-b089-46fc-b73c-2a16f6650770,Mercury,Marquis,Purple
e5d26af1-97c8-45cd-b8bd-f811a3006f88,Audi,5000S,Teal
dc05a7dd-cb11-497d-b98a-8defff5ec83c,Mitsubishi,Lancer,Orange
74d826d8-dea6-40ed-b276-77054d879d27,Volvo,C30,Violet
998ab278-1a5a-4b23-9555-a47555a956fa,BMW,M3,Crimson
bb69c5ee-1267-483b-890e-3b9f5641fda1,Honda,Accord,Pink
8b05acbf-4cb9-4b7d-8208-99a290971c2a,Hyundai,Accent,Khaki
1ba37bd3-d841-4bbb-9d39-191c20495711,Chevrolet,Express 1500,Green
ed1b7147-7df5-4c19-8c6d-d679fb60106c,Audi,A6,Teal
58c10366-06e3-4d19-ac07-1295a5374924,Mazda,MX-5,Puce
8beb1535-59bf-4f25-a331-79bea7c61f2b,Saab,900,Violet
6b2cc6c2-0495-419b-8b1c-20526b464af0,Audi,A8,Crimson
781b9732-fdd8-4111-b30c-83be606e6b18,Audi,90,Fuscia
07fe2861-ba1c-4c09-936b-b5ee677eb040,Chevrolet,Corvette,Violet
8014110d-3f8e-4506-92d9-d0c958a50c97,Toyota,Celica,Mauv
28682163-9709-4e2a-a553-6f6175178b5d,Toyota,Tacoma,Indigo
590e7f5c-48b6-4761-b609-6e7e95d9c014,Dodge,Ram Van 2500,Turquoise
